parcel_id,village,district,taluk,digital_block_no,survey_no,subdivision_no,parcel_area_sq_m,parcel_area_ha,land_use,centroid_latitude,centroid_longitude,elevation_m,slope_degree,rainfall_24h_mm,rainfall_7day_mm,flood_depth_m,flood_probability,landslide_probability,distance_to_river_m,distance_to_road_m,population_density_per_sq_km,building_density,soil_moisture_index,risk_score,risk_level,risk_rank_within_village,relocation_screening,recommended_action,hazard_screening_basis,cadastral_status,geometry_status,property_boundary_status,data_status,official_cadastral_boundary,usable_for_prototype,usable_as_legal_land_record
DEMO-02-0015,Kuppadithara,Wayanad,Vythiri,DEMO-02-16,DEMO-02/327,8,675.2,0.0675,Agriculture,11.6289511,76.0223889,1039.5,18.2,72.0,553.4,0.98,0.633,0.482,807.4,1065.8,875.1,0.159,0.622,45.7,MEDIUM,189,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0016,Kuppadithara,Wayanad,Vythiri,DEMO-02-05,DEMO-02/107,4,2885.9,0.2886,Agriculture,11.6286398,76.0236723,1005.2,23.5,77.3,537.9,0.3,0.739,0.341,1788.5,524.9,1584.5,0.623,0.727,44.4,MEDIUM,172,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0017,Kuppadithara,Wayanad,Vythiri,DEMO-02-01,DEMO-02/571,4,4836.6,0.4837,Residential,11.6288927,76.0245915,995.9,2.0,147.8,609.1,0.11,0.06,0.261,53.5,457.1,87.7,0.024,0.583,25.3,MEDIUM,9,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0018,Kuppadithara,Wayanad,Vythiri,DEMO-02-11,DEMO-02/352,7,7779.6,0.778,Residential,11.6288012,76.025614,949.2,13.7,38.1,468.0,0.29,0.585,0.437,675.2,887.1,1166.2,0.269,0.667,38.7,MEDIUM,96,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0019,Kuppadithara,Wayanad,Vythiri,DEMO-02-09,DEMO-02/417,7,5955.8,0.5956,Agriculture,11.6285408,76.0268411,792.6,3.8,106.2,491.2,0.91,0.474,0.344,400.0,776.9,1153.6,0.359,0.688,41.0,MEDIUM,124,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0020,Kuppadithara,Wayanad,Vythiri,DEMO-02-01,DEMO-02/449,5,4571.9,0.4572,Agriculture,11.6287039,76.0283071,814.1,24.1,118.1,265.2,0.73,0.565,0.463,1378.7,555.3,977.2,0.622,0.776,50.3,HIGH,225,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0021,Kuppadithara,Wayanad,Vythiri,DEMO-02-08,DEMO-02/755,7,3204.8,0.3205,Forest-fringe,11.6286664,76.0291547,692.3,22.3,53.5,387.1,1.24,0.835,0.355,2074.4,761.8,579.9,0.417,0.35,46.9,MEDIUM,203,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0022,Kuppadithara,Wayanad,Vythiri,DEMO-02-13,DEMO-02/583,9,4212.9,0.4213,Mixed,11.6290023,76.0305262,862.2,18.3,163.2,566.5,0.21,0.275,0.533,712.4,673.2,418.3,0.476,0.318,44.5,MEDIUM,174,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0023,Kuppadithara,Wayanad,Vythiri,DEMO-02-17,DEMO-02/605,4,6488.3,0.6488,Agriculture,11.6287364,76.0315727,742.6,10.8,132.0,495.6,0.38,0.355,0.437,1600.5,254.9,1658.2,0.093,0.323,40.9,MEDIUM,122,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0024,Kuppadithara,Wayanad,Vythiri,DEMO-02-02,DEMO-02/553,5,936.8,0.0937,Residential,11.6286628,76.0327385,1024.0,19.0,131.1,619.8,0.6,0.627,0.333,2339.2,1159.2,1795.7,0.322,0.294,44.1,MEDIUM,167,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0025,Kuppadithara,Wayanad,Vythiri,DEMO-02-11,DEMO-02/616,1,3237.0,0.3237,Mixed,11.6288967,76.0337709,715.6,20.6,72.9,215.3,0.23,0.571,0.392,1564.5,867.4,932.5,0.554,0.867,41.7,MEDIUM,134,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0026,Kuppadithara,Wayanad,Vythiri,DEMO-02-15,DEMO-02/865,5,1034.9,0.1035,Plantation,11.6300982,76.006035,968.7,16.9,190.6,359.0,0.91,0.713,0.474,1151.3,955.3,308.2,0.362,0.479,51.8,HIGH,231,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0027,Kuppadithara,Wayanad,Vythiri,DEMO-02-18,DEMO-02/106,2,6254.0,0.6254,Forest-fringe,11.6297226,76.0074072,686.3,6.4,106.3,165.1,0.0,0.101,0.168,2428.3,882.8,1727.5,0.346,0.278,25.5,MEDIUM,10,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0028,Kuppadithara,Wayanad,Vythiri,DEMO-02-15,DEMO-02/9,8,3142.2,0.3142,Forest-fringe,11.6298092,76.0084961,769.2,17.1,156.9,111.8,0.21,0.224,0.348,2098.8,665.9,807.4,0.066,0.514,35.6,MEDIUM,61,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0029,Kuppadithara,Wayanad,Vythiri,DEMO-02-20,DEMO-02/46,3,5602.5,0.5602,Agriculture,11.6297728,76.0095034,712.6,10.9,165.8,518.5,0.74,0.64,0.235,317.0,909.7,443.4,0.462,0.272,44.5,MEDIUM,174,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0030,Kuppadithara,Wayanad,Vythiri,DEMO-02-09,DEMO-02/55,5,4861.5,0.4862,Residential,11.6298331,76.0106676,751.7,3.9,172.7,413.3,0.7,0.397,0.183,1770.6,288.4,1212.4,0.171,0.303,35.6,MEDIUM,61,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0031,Kuppadithara,Wayanad,Vythiri,DEMO-02-03,DEMO-02/804,3,4070.2,0.407,Plantation,11.6297533,76.0121726,1040.9,21.3,217.7,393.0,1.22,0.842,0.481,448.1,51.8,109.4,0.545,0.444,59.8,HIGH,248,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0032,Kuppadithara,Wayanad,Vythiri,DEMO-02-09,DEMO-02/991,2,3601.7,0.3602,Plantation,11.6298713,76.0129813,869.2,17.8,144.5,609.4,0.54,0.791,0.552,1629.9,894.9,479.1,0.279,0.553,50.1,HIGH,224,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0033,Kuppadithara,Wayanad,Vythiri,DEMO-02-08,DEMO-02/104,5,5070.4,0.507,Agriculture,11.6298871,76.0144243,988.1,18.2,111.5,293.0,0.52,0.113,0.295,686.8,706.4,452.0,0.61,0.534,34.9,MEDIUM,56,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0034,Kuppadithara,Wayanad,Vythiri,DEMO-02-02,DEMO-02/221,3,7256.1,0.7256,Residential,11.6302322,76.0151799,984.9,9.2,204.6,404.8,0.95,0.631,0.394,44.4,336.4,917.3,0.491,0.886,51.7,HIGH,230,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0035,Kuppadithara,Wayanad,Vythiri,DEMO-02-02,DEMO-02/178,7,6504.4,0.6504,Agriculture,11.630224,76.0166549,731.8,17.4,170.0,286.3,0.11,0.354,0.528,1562.3,348.0,313.3,0.445,0.312,43.7,MEDIUM,163,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0036,Kuppadithara,Wayanad,Vythiri,DEMO-02-06,DEMO-02/351,5,4177.0,0.4177,Forest-fringe,11.6300805,76.017942,758.4,22.8,105.9,144.4,0.12,0.474,0.415,2441.6,251.0,467.6,0.088,0.747,37.5,MEDIUM,83,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0037,Kuppadithara,Wayanad,Vythiri,DEMO-02-19,DEMO-02/215,7,1688.2,0.1688,Residential,11.6299709,76.0188986,1044.6,2.4,165.2,300.8,1.07,0.558,0.283,2068.0,164.5,424.2,0.321,0.481,37.3,MEDIUM,79,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0038,Kuppadithara,Wayanad,Vythiri,DEMO-02-18,DEMO-02/362,5,7812.9,0.7813,Agriculture,11.6297901,76.0197781,676.2,15.3,90.2,135.4,0.49,0.726,0.466,1400.6,641.7,1270.8,0.42,0.584,47.4,MEDIUM,209,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0039,Kuppadithara,Wayanad,Vythiri,DEMO-02-11,DEMO-02/608,8,6094.7,0.6095,Residential,11.6302082,76.0212443,714.7,12.0,162.3,409.2,0.4,0.326,0.47,796.3,834.5,618.1,0.615,0.69,44.6,MEDIUM,179,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0040,Kuppadithara,Wayanad,Vythiri,DEMO-02-02,DEMO-02/589,8,5952.4,0.5952,Agriculture,11.6302252,76.0222637,740.6,5.6,165.9,345.9,0.93,0.799,0.167,1290.5,1128.0,1292.9,0.411,0.399,44.6,MEDIUM,179,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0041,Kuppadithara,Wayanad,Vythiri,DEMO-02-20,DEMO-02/631,4,1200.2,0.12,Plantation,11.6300946,76.0235338,744.3,18.9,52.8,302.1,0.83,0.748,0.493,1857.3,715.4,1464.7,0.499,0.722,48.9,MEDIUM,216,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0042,Kuppadithara,Wayanad,Vythiri,DEMO-02-08,DEMO-02/900,3,5988.8,0.5989,Residential,11.6298406,76.0243844,901.3,9.1,154.3,348.8,0.13,0.198,0.229,878.6,737.2,1457.3,0.503,0.446,34.5,MEDIUM,54,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0043,Kuppadithara,Wayanad,Vythiri,DEMO-02-10,DEMO-02/513,1,571.9,0.0572,Agriculture,11.6300722,76.0255013,1024.0,19.7,197.5,273.4,0.69,0.642,0.577,494.7,1012.6,1536.8,0.518,0.571,58.9,HIGH,247,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0044,Kuppadithara,Wayanad,Vythiri,DEMO-02-13,DEMO-02/288,9,4015.2,0.4015,Residential,11.6300019,76.026736,849.6,11.7,189.6,574.3,0.59,0.274,0.464,1213.4,1007.7,1603.0,0.054,0.536,45.1,MEDIUM,184,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0045,Kuppadithara,Wayanad,Vythiri,DEMO-02-16,DEMO-02/411,5,4169.6,0.417,Agriculture,11.6300667,76.0278195,1000.2,10.9,48.9,128.1,0.66,0.645,0.158,1809.1,400.8,1016.5,0.058,0.445,30.3,MEDIUM,22,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0046,Kuppadithara,Wayanad,Vythiri,DEMO-02-02,DEMO-02/735,6,6406.0,0.6406,Forest-fringe,11.6300136,76.0289998,1034.5,8.8,91.5,541.0,0.86,0.826,0.155,1776.9,90.5,747.4,0.293,0.696,35.8,MEDIUM,64,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0047,Kuppadithara,Wayanad,Vythiri,DEMO-02-03,DEMO-02/612,5,6114.9,0.6115,Plantation,11.6302476,76.0305914,1002.9,9.2,88.4,412.2,0.66,0.624,0.235,2148.3,573.5,175.6,0.523,0.381,32.6,MEDIUM,39,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0048,Kuppadithara,Wayanad,Vythiri,DEMO-02-20,DEMO-02/671,7,5869.9,0.587,Agriculture,11.6298822,76.031313,870.0,23.2,165.1,166.6,0.0,0.241,0.476,2402.2,1052.3,1299.6,0.542,0.519,42.8,MEDIUM,147,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0049,Kuppadithara,Wayanad,Vythiri,DEMO-02-20,DEMO-02/359,2,1320.0,0.132,Forest-fringe,11.6302056,76.0328249,907.6,14.9,133.0,435.0,0.56,0.688,0.349,1752.2,635.3,1729.2,0.072,0.691,44.5,MEDIUM,174,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0050,Kuppadithara,Wayanad,Vythiri,DEMO-02-05,DEMO-02/407,4,4124.4,0.4124,Forest-fringe,11.6299179,76.0337266,678.4,8.2,211.9,347.0,0.09,0.161,0.277,2385.3,392.6,355.4,0.197,0.892,31.8,MEDIUM,32,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0051,Kuppadithara,Wayanad,Vythiri,DEMO-02-08,DEMO-02/176,4,3367.5,0.3368,Mixed,11.6312311,76.00613,767.4,9.1,63.3,165.1,0.39,0.633,0.319,784.6,486.2,131.4,0.212,0.564,34.4,MEDIUM,53,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0052,Kuppadithara,Wayanad,Vythiri,DEMO-02-02,DEMO-02/693,8,6887.1,0.6887,Residential,11.6313823,76.007388,844.5,22.9,81.3,249.5,0.2,0.331,0.358,1707.5,706.2,653.5,0.371,0.534,35.9,MEDIUM,67,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0053,Kuppadithara,Wayanad,Vythiri,DEMO-02-06,DEMO-02/843,7,5466.8,0.5467,Mixed,11.6312609,76.008482,1013.1,13.6,36.3,323.7,0.0,0.031,0.375,1194.9,194.6,308.2,0.521,0.537,24.8,LOW,5,CANDIDATE_FOR_FURTHER_ASSESSMENT,Normal monitoring,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0054,Kuppadithara,Wayanad,Vythiri,DEMO-02-08,DEMO-02/496,5,1630.4,0.163,Plantation,11.631292,76.0094117,775.1,20.6,213.0,352.8,0.87,0.81,0.38,2286.2,479.0,1155.4,0.36,0.502,54.7,HIGH,240,NOT_RECOMMENDED_UNDER_DEMO_MODEL,High caution / prioritize mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0055,Kuppadithara,Wayanad,Vythiri,DEMO-02-10,DEMO-02/903,3,2112.4,0.2112,Residential,11.6311418,76.0106318,874.4,13.7,195.9,595.1,0.81,0.597,0.338,1470.6,333.1,1625.4,0.241,0.414,48.9,MEDIUM,216,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
DEMO-02-0056,Kuppadithara,Wayanad,Vythiri,DEMO-02-04,DEMO-02/27,5,1351.7,0.1352,Plantation,11.6311823,76.011965,814.9,2.9,143.9,123.9,0.43,0.819,0.204,304.6,1149.0,551.7,0.125,0.519,38.7,MEDIUM,96,CONDITIONAL_REVIEW_REQUIRED,Monitor and apply mitigation,Synthetic parcel risk score from supplied demo dataset; not an official cadastral/hazard determination,SYNTHETIC_DEMO_NOT_OFFICIAL,SYNTHETIC_DEMO_POLYGON_NOT_OFFICIAL,DO_NOT_USE_AS_LEGAL_BOUNDARY,SYNTHETIC_DEMO_ONLY,NO,YES,NO
